waktu,SO2
2020-03-30,2.11
2020-03-31,3.075
2020-04-01,3.075
2020-04-02,3.075
2020-04-03,-0.481
2020-04-04,-0.481
2020-04-05,4.395
2020-04-06,4.395
2020-04-07,4.395
2020-04-08,5.622
2020-04-09,5.857
2020-04-10,5.945
2020-04-11,6.297
2020-04-12,-0.306
2020-04-13,-1.127
2020-04-14,0.368
2020-04-15,-1.138
2020-04-16,-1.286
2020-04-17,-1.286
2020-04-18,-1.286
2020-04-19,-6.64
2020-04-20,0.466
2020-04-21,3.414
2020-04-22,6.416
2020-04-23,2.696
2020-04-24,-0.769
2020-04-25,0.501
2020-04-26,0.131
2020-04-27,3.315
2020-04-28,3.315
2020-04-29,0.247
2020-04-30,-1.27
2020-05-01,0.957
2020-05-02,-0.253
2020-05-03,0.973
2020-05-04,1.91
2020-05-05,4.112
2020-05-06,2.636
2020-05-07,1.721
2020-05-08,1.257
2020-05-09,2.19
2020-05-10,0.02
2020-05-11,1.153
2020-05-12,2.21
2020-05-13,3.524
2020-05-14,-2.683
2020-05-15,0.103
2020-05-16,0.304
2020-05-17,-0.574
2020-05-18,-0.574
2020-05-19,-0.574
2020-05-20,2.251
2020-05-21,2.251
2020-05-22,0.306
2020-05-23,1.221
2020-05-24,3.943
2020-05-25,0.298
2020-05-26,3.495
2020-05-27,0.894
2020-05-28,0.894
2020-05-29,-4.961
2020-05-30,5.394
2020-05-31,5.394
2020-06-01,5.394
2020-06-02,5.394
2020-06-03,1.759
2020-06-04,0.895
2020-06-05,2.268
2020-06-06,2.332
2020-06-07,0.438
2020-06-08,2.287
2020-06-09,-0.831
2020-06-10,2.711
2020-06-11,5.968
2020-06-12,1.001
2020-06-13,-4.544
2020-06-14,-4.5015
2020-06-15,2.067
2020-06-16,-1.334
2020-06-17,3.491
2020-06-18,-0.438
2020-06-19,-3.179
2020-06-20,0.248
2020-06-21,1.944
2020-06-22,-0.363
2020-06-23,0.7125
2020-06-24,-0.094
2020-06-25,9.795
2020-06-26,2.525
2020-06-27,1.367
2020-06-28,1.854
2020-06-29,-0.617
2020-06-30,6.647
2020-07-01,0.095
2020-07-02,3.002
2020-07-03,2.166
2020-07-04,2.166
2020-07-05,2.166
2020-07-06,2.166
2020-07-07,2.519
2020-07-08,1.419
2020-07-09,3.145
2020-07-10,0.059
2020-07-11,8.06
2020-07-12,0.326
2020-07-13,0.793
2020-07-14,1.895
2020-07-15,1.895
2020-07-16,1.895
2020-07-17,3.922
2020-07-18,4.225
2020-07-19,-1.802
2020-07-20,-3.628
2020-07-21,0.376
2020-07-22,-0.305
2020-07-23,2.518
2020-07-24,1.15
2020-07-25,6.035
2020-07-26,6.035
2020-07-27,6.035
2020-07-28,5.304
2020-07-29,3.216
2020-07-30,3.216
2020-07-31,-3.485
2020-08-01,8.2
2020-08-02,0.113
2020-08-03,-0.022
2020-08-04,0.417
2020-08-05,1.961
2020-08-06,7.978
2020-08-07,4.333
2020-08-08,2.073
2020-08-09,2.403
2020-08-10,-1.694
2020-08-11,1.685
2020-08-12,4.579
2020-08-13,0.612
2020-08-14,0.943
2020-08-15,2.899
2020-08-16,3.445
2020-08-17,2.313
2020-08-18,0.853
2020-08-19,2.75
2020-08-20,-0.025
2020-08-21,-0.59
2020-08-22,2.006
2020-08-23,1.852
2020-08-24,2.593
2020-08-25,-0.538
2020-08-26,2.022
2020-08-27,6.607
2020-08-28,6.607
2020-08-29,3.052
2020-08-30,1.559
2020-08-31,0.606
2020-09-01,-0.25
2020-09-02,12.659
2020-09-03,4.135
2020-09-04,0.104
2020-09-05,2.464
2020-09-06,1.492
2020-09-07,1.602
2020-09-08,-0.137
2020-09-09,-2.945
2020-09-10,2.828
2020-09-11,1.776
2020-09-12,-0.834
2020-09-13,2.664
2020-09-14,2.631
2020-09-15,-0.127
2020-09-16,3.174
2020-09-17,1.548
2020-09-18,0.245
2020-09-19,-0.059
2020-09-20,-2.728
2020-09-21,1.879
2020-09-22,1.613
2020-09-23,0.172
2020-09-24,0.751
2020-09-25,2.495
2020-09-26,1.639
2020-09-27,1.253
2020-09-28,2.456
2020-09-29,2.677
2020-09-30,-1.47
2020-10-01,-0.032
2020-10-02,-0.84
2020-10-03,-1.088
2020-10-04,3.094
2020-10-05,1.632
2020-10-06,-0.079
2020-10-07,0.299
2020-10-08,-1.178
2020-10-09,-1.178
2020-10-10,-1.178
2020-10-11,-2.287
2020-10-12,2.384
2020-10-13,0.342
2020-10-14,-2.694
2020-10-15,12.852
2020-10-16,1.912
2020-10-17,-4.731
2020-10-18,-4.731
2020-10-19,-4.731
2020-10-20,-4.731
2020-10-21,-4.731
2020-10-22,-0.731
2020-10-23,-3.555
2020-10-24,0.55
2020-10-25,0.132
2020-10-26,0.132
2020-10-27,-0.427
2020-10-28,0.065
2020-10-29,3.354
2020-10-30,3.354
2020-10-31,3.354
2020-11-01,-3.448
2020-11-02,-3.448
2020-11-03,-3.448
2020-11-04,-3.448
2020-11-05,6.879
2020-11-06,-0.931
2020-11-07,0.203
2020-11-08,2.126
2020-11-09,2.908
2020-11-10,0.608
2020-11-11,0.608
2020-11-12,-2.117
2020-11-13,-2.117
2020-11-14,-7.124
2020-11-15,-0.033
2020-11-16,5.015
2020-11-17,2.835
2020-11-18,1.262
2020-11-19,2.1
2020-11-20,6.267
2020-11-21,0.714
2020-11-22,0.714
2020-11-23,0.714
2020-11-24,-3.675
2020-11-25,-3.675
2020-11-26,-3.675
2020-11-27,-3.675
2020-11-28,-3.675
2020-11-29,-3.675
2020-11-30,-3.675
2020-12-01,-0.244
2020-12-02,-0.244
2020-12-03,-0.244
2020-12-04,-0.244
2020-12-05,-0.244
2020-12-06,-0.244
2020-12-07,-0.244
2020-12-08,-0.244
2020-12-09,-0.244
2020-12-10,-0.244
2020-12-11,-0.244
2020-12-12,-0.244
2020-12-13,-0.244
2020-12-14,-0.244
2020-12-15,-0.244
